Wed Nov  4 22:34:33 2020 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.24582, valid loss: 0.06106, Acc: 98.7405, AUC: 0.998055.
Wed Nov  4 22:43:00 2020 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.16139, valid loss: 0.07123, Acc: 97.8787, AUC: 0.998904.
Wed Nov  4 22:51:26 2020 Fold 0, Epoch 3, lr: 0.0002991, train loss: 0.09715, valid loss: 0.00838, Acc: 99.8674, AUC: 0.999998.
Wed Nov  4 22:59:56 2020 Fold 0, Epoch 4, lr: 0.0002965, train loss: 0.07508, valid loss: 0.02350, Acc: 99.3702, AUC: 0.999989.
Wed Nov  4 23:08:22 2020 Fold 0, Epoch 5, lr: 0.0002921, train loss: 0.06791, valid loss: 0.01071, Acc: 99.6685, AUC: 0.999994.
Wed Nov  4 23:16:47 2020 Fold 0, Epoch 6, lr: 0.0002861, train loss: 0.06141, valid loss: 0.01735, Acc: 99.5028, AUC: 0.999815.
Wed Nov  4 23:25:14 2020 Fold 0, Epoch 7, lr: 0.0002785, train loss: 0.05081, valid loss: 0.01265, Acc: 99.7017, AUC: 0.999989.
Wed Nov  4 23:33:44 2020 Fold 0, Epoch 8, lr: 0.0002694, train loss: 0.04883, valid loss: 0.01847, Acc: 99.2708, AUC: 0.999974.
Wed Nov  4 23:42:11 2020 Fold 0, Epoch 9, lr: 0.0002589, train loss: 0.04490, valid loss: 0.01394, Acc: 99.7680, AUC: 0.999994.
Wed Nov  4 23:50:51 2020 Fold 0, Epoch 10, lr: 0.0002471, train loss: 0.04032, valid loss: 0.02021, Acc: 99.4365, AUC: 1.000000.
Wed Nov  4 23:59:09 2020 Fold 0, Epoch 11, lr: 0.0002342, train loss: 0.04035, valid loss: 0.00848, Acc: 99.9337, AUC: 0.999998.
Thu Nov  5 00:07:27 2020 Fold 0, Epoch 12, lr: 0.0002203, train loss: 0.03307, valid loss: 0.00592, Acc: 99.8674, AUC: 1.000000.
Thu Nov  5 00:15:54 2020 Fold 0, Epoch 13, lr: 0.0002055, train loss: 0.03128, valid loss: 0.00425, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 00:24:25 2020 Fold 0, Epoch 14, lr: 0.0001901, train loss: 0.03146, valid loss: 0.00513, Acc: 99.9669, AUC: 1.000000.
Thu Nov  5 00:32:37 2020 Fold 0, Epoch 15, lr: 0.0001743, train loss: 0.02555, valid loss: 0.00392, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 00:41:02 2020 Fold 0, Epoch 16, lr: 0.0001581, train loss: 0.03003, valid loss: 0.00307, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 00:49:24 2020 Fold 0, Epoch 17, lr: 0.0001419, train loss: 0.02104, valid loss: 0.00253, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 00:57:52 2020 Fold 0, Epoch 18, lr: 0.0001257, train loss: 0.01955, valid loss: 0.02477, Acc: 99.1051, AUC: 1.000000.
Thu Nov  5 01:06:31 2020 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.01794, valid loss: 0.00436, Acc: 99.9006, AUC: 1.000000.
Thu Nov  5 01:15:16 2020 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.01624, valid loss: 0.00646, Acc: 99.8674, AUC: 1.000000.
Thu Nov  5 01:23:44 2020 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.01532, valid loss: 0.00129, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 01:32:03 2020 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.01725, valid loss: 0.01536, Acc: 99.5691, AUC: 1.000000.
Thu Nov  5 01:40:22 2020 Fold 0, Epoch 23, lr: 0.0000529, train loss: 0.01352, valid loss: 0.00242, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 01:48:41 2020 Fold 0, Epoch 24, lr: 0.0000411, train loss: 0.00987, valid loss: 0.00307, Acc: 99.9669, AUC: 1.000000.
Thu Nov  5 21:04:59 2020 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.24582, valid loss: 0.06106, Acc: 98.7405, AUC: 0.998055.
Thu Nov  5 21:13:46 2020 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.16139, valid loss: 0.07123, Acc: 97.8787, AUC: 0.998904.
Thu Nov  5 21:22:12 2020 Fold 0, Epoch 3, lr: 0.0002991, train loss: 0.09715, valid loss: 0.00838, Acc: 99.8674, AUC: 0.999998.
Thu Nov  5 21:30:40 2020 Fold 0, Epoch 4, lr: 0.0002965, train loss: 0.07508, valid loss: 0.02350, Acc: 99.3702, AUC: 0.999989.
Thu Nov  5 21:39:05 2020 Fold 0, Epoch 5, lr: 0.0002921, train loss: 0.06791, valid loss: 0.01071, Acc: 99.6685, AUC: 0.999994.
Thu Nov  5 21:47:30 2020 Fold 0, Epoch 6, lr: 0.0002861, train loss: 0.06141, valid loss: 0.01735, Acc: 99.5028, AUC: 0.999815.
Thu Nov  5 21:55:54 2020 Fold 0, Epoch 7, lr: 0.0002785, train loss: 0.05081, valid loss: 0.01265, Acc: 99.7017, AUC: 0.999989.
Thu Nov  5 22:04:18 2020 Fold 0, Epoch 8, lr: 0.0002694, train loss: 0.04883, valid loss: 0.01847, Acc: 99.2708, AUC: 0.999974.
Thu Nov  5 22:12:42 2020 Fold 0, Epoch 9, lr: 0.0002589, train loss: 0.04490, valid loss: 0.01394, Acc: 99.7680, AUC: 0.999994.
Thu Nov  5 22:21:08 2020 Fold 0, Epoch 10, lr: 0.0002471, train loss: 0.04032, valid loss: 0.02021, Acc: 99.4365, AUC: 1.000000.
Thu Nov  5 22:29:31 2020 Fold 0, Epoch 11, lr: 0.0002342, train loss: 0.04035, valid loss: 0.00848, Acc: 99.9337, AUC: 0.999998.
Thu Nov  5 22:37:54 2020 Fold 0, Epoch 12, lr: 0.0002203, train loss: 0.03307, valid loss: 0.00592, Acc: 99.8674, AUC: 1.000000.
Thu Nov  5 22:46:18 2020 Fold 0, Epoch 13, lr: 0.0002055, train loss: 0.03128, valid loss: 0.00425, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 22:54:42 2020 Fold 0, Epoch 14, lr: 0.0001901, train loss: 0.03146, valid loss: 0.00513, Acc: 99.9669, AUC: 1.000000.
Thu Nov  5 23:03:06 2020 Fold 0, Epoch 15, lr: 0.0001743, train loss: 0.02555, valid loss: 0.00392, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 23:11:30 2020 Fold 0, Epoch 16, lr: 0.0001581, train loss: 0.03003, valid loss: 0.00307, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 23:19:54 2020 Fold 0, Epoch 17, lr: 0.0001419, train loss: 0.02104, valid loss: 0.00253, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 23:28:18 2020 Fold 0, Epoch 18, lr: 0.0001257, train loss: 0.01955, valid loss: 0.02477, Acc: 99.1051, AUC: 1.000000.
Thu Nov  5 23:36:42 2020 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.01794, valid loss: 0.00436, Acc: 99.9006, AUC: 1.000000.
Thu Nov  5 23:45:04 2020 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.01624, valid loss: 0.00646, Acc: 99.8674, AUC: 1.000000.
Thu Nov  5 23:53:28 2020 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.01532, valid loss: 0.00129, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 00:01:51 2020 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.01725, valid loss: 0.01536, Acc: 99.5691, AUC: 1.000000.
